node,in_degree,out_degree,pagerank
3143,1.0,1.0,0.0004473614717380179
4788,1.0,1.0,0.0004473614717380179
4381,16.0,8.0,0.00044664749918546943
1318,4.0,2.0,0.0004459488264311885
2773,2.0,2.0,0.00044554977287470477
3081,2.0,1.0,0.00044531852213071366
442,5.0,2.0,0.00044506172078709826
997,3.0,1.0,0.00044262758023103
4955,8.0,4.0,0.0004424400502856516
1403,3.0,3.0,0.0004423824922635749
5332,4.0,3.0,0.00044235005013802106
2542,3.0,6.0,0.0004422666875440308
5361,3.0,5.0,0.00044202901125224917
3353,3.0,2.0,0.0004417487467883022
3184,20.0,15.0,0.0004414975079742826
1044,5.0,4.0,0.0004404692031063999
5195,2.0,2.0,0.00044003615314836214
3022,8.0,2.0,0.0004392023669680624
5248,6.0,3.0,0.00043919988842730935
6701,5.0,2.0,0.00043902148535284477
1066,6.0,5.0,0.0004382744965354402
6565,4.0,3.0,0.0004379858165426544
1154,5.0,11.0,0.0004373978155073184
4291,3.0,1.0,0.00043667397115339544
2437,2.0,3.0,0.00043652300653035793
3592,3.0,2.0,0.00043635579578371706
1237,1.0,1.0,0.0004356377559973307
6771,2.0,2.0,0.0004339824704707558
4244,3.0,3.0,0.00043384791442077544
999,2.0,2.0,0.00043366452726642155
511,4.0,1.0,0.00043329282729134865
4685,3.0,1.0,0.0004321856559917815
4066,2.0,2.0,0.00043191485783431496
2610,4.0,2.0,0.0004314354401869155
1457,6.0,3.0,0.0004310745562478772
6264,2.0,9.0,0.0004302572177997724
4868,5.0,2.0,0.0004293717544844423
301,3.0,4.0,0.0004292155415753109
6003,4.0,2.0,0.0004291348742977556
5217,8.0,3.0,0.0004281670624816812
6490,8.0,6.0,0.00042803518749931035
5123,6.0,3.0,0.00042797026189679127
1329,2.0,1.0,0.000426299819600852
6700,3.0,6.0,0.00042603136202742697
6014,2.0,3.0,0.0004250597735484035
639,5.0,1.0,0.00042447755287808076
3936,8.0,0.0,0.0004240898415779918
2808,6.0,2.0,0.0004237553605650116
6529,3.0,2.0,0.0004235769400597371
6711,7.0,2.0,0.0004235207297181159
2805,2.0,1.0,0.0004227474925044493
6087,6.0,1.0,0.0004221014833771849
6414,4.0,2.0,0.0004220042959330314
3311,7.0,2.0,0.0004212482950446222
6290,2.0,2.0,0.0004209134845834913
